player,team,origin_league,prev_wOBA,bayes_wOBA,bayes_OPS,bayes_OPS_lo80,bayes_OPS_hi80,bayes_OPS_lo95,bayes_OPS_hi95,method
サンタナ,ヤクルト,MLB,0.271,0.3197,0.713,0.548,0.869,0.463,0.957,stan_v2
オスナ,ヤクルト,MLB,0.273,0.3068,0.683,0.517,0.847,0.436,0.931,stan_v2
エチェバリア,ロッテ,MLB,0.271,0.3021,0.672,0.505,0.841,0.423,0.931,stan_v2
スモーク,巨人,MLB,0.265,0.3152,0.702,0.554,0.861,0.473,0.937,stan_v2
テームズ,巨人,MLB,0.276,0.3156,0.703,0.557,0.854,0.475,0.933,stan_v2
ハイネマン,巨人,MLB,0.197,0.3241,0.723,0.552,0.896,0.462,0.994,stan_v2
クロン,広島,MLB,0.321,0.3157,0.703,0.54,0.868,0.46,0.953,stan_v2
カスティーヨ,楽天,AAA,0.325,0.3319,0.741,0.612,0.867,0.543,0.932,stan_v2
ロハス・ジュニア,阪神,KBO,0.44,0.3859,0.867,0.748,0.985,0.68,1.049,stan_v2
ガーバー,中日,MLB,0.127,0.384,0.862,0.696,1.021,0.61,1.115,stan_v2
ラベロ,オリックス,MLB,0.233,0.2875,0.638,0.46,0.811,0.362,0.91,stan_v2
アルバレス,ソフトバンク,MLB,0.315,0.309,0.688,0.505,0.872,0.413,0.966,stan_v2
Ｒ．ロドリゲス,日本ハム,MLB,0.283,0.3081,0.685,0.55,0.822,0.479,0.892,stan_v2
