player,team,origin_league,prev_ERA,bayes_ERA,bayes_ERA_lo80,bayes_ERA_hi80,bayes_ERA_lo95,bayes_ERA_hi95,method
シャッケルフォード,DeNA,MLB,4.7,3.29,1.59,4.95,0.7,5.85,stan_v2
サイスニード,ヤクルト,MLB,5.71,3.53,2.07,4.93,1.3,5.72,stan_v2
ロサリオ,中日,MLB,3.66,4.11,2.15,6.02,1.12,7.07,stan_v2
ネバラスカス,広島,MLB,7.11,3.38,1.91,4.87,1.14,5.62,stan_v2
バード,広島,MLB,7.82,4.21,2.89,5.5,2.26,6.21,stan_v2
コルニエル,広島,Minor,,4.81,2.92,6.73,1.85,7.74,league_avg
アーリン,日本ハム,MLB,8.1,3.5,1.87,5.1,1.06,5.93,stan_v2
ダーモディ,西武,MLB,5.74,3.59,1.86,5.25,0.89,6.08,stan_v2
アルカンタラ,阪神,KBO,2.54,4.85,1.99,7.8,0.46,9.31,stan_v2
スパークマン,オリックス,MLB,6.02,3.88,1.27,6.44,0.0,7.89,stan_v2
バルガス,オリックス,MLB,5.03,3.89,2.19,5.63,1.22,6.53,stan_v2
スチュワート・ジュニア,ソフトバンク,Other,,4.81,2.85,6.73,1.84,7.63,league_avg
