team,league,p_pennant,p_cs,p_last,median_wins,mean_wins,wins_80ci_lo,wins_80ci_hi,wins_95ci_lo,wins_95ci_hi,pf_5yr
巨人,CL,0.9921,0.9999,0.0,84.3,84.4,80.6,88.3,78.6,90.4,0.981
阪神,CL,0.0051,0.6371,0.0734,72.6,72.7,68.7,76.7,66.7,78.9,0.942
中日,CL,0.0011,0.4718,0.126,71.4,71.4,67.8,75.1,65.9,77.2,0.844
ヤクルト,CL,0.0007,0.3685,0.1801,70.7,70.7,67.0,74.4,65.1,76.4,1.129
DeNA,CL,0.0009,0.322,0.237,70.1,70.2,66.3,74.3,64.3,76.4,1.102
広島,CL,0.0001,0.2007,0.3835,69.1,69.1,65.2,73.0,63.3,75.3,0.996
ソフトバンク,PL,0.6008,0.9751,0.0001,76.2,76.2,72.3,80.2,70.3,82.3,1.007
楽天,PL,0.2836,0.9226,0.0005,74.2,74.2,70.3,78.0,68.5,80.2,0.908
日本ハム,PL,0.1,0.7217,0.0078,71.6,71.7,67.5,75.9,65.4,78.2,1.147
ロッテ,PL,0.0104,0.2362,0.0594,68.2,68.2,64.5,72.0,62.5,74.1,1.097
西武,PL,0.0052,0.1372,0.1063,67.0,67.1,63.4,70.9,61.5,73.1,0.962
オリックス,PL,0.0,0.0072,0.8259,62.0,62.1,58.4,65.9,56.4,68.1,0.943
